Название университета,Страна,Город,Минимальный GPA,Минимальный IELTS,Минимальный SAT,Минимальный AP,Минимальный бюджет ($),Направление,Климат,Уровень проектов,Гранты,Стоимость проживания,Краткое описание
Национальный университет Сингапура,Сингапур,Сингапур,3.1,6.0,1100,2,25000,Физика,Умеренный,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.39,6.5,1100,5,25000,Медицина,Тёплый,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.27,7.0,1400,3,25000,Физика,Холодный,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.77,6.0,1200,3,10000,Медицина,Тёплый,Нет,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.16,6.5,1000,4,15000,Математика,Умеренный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.02,5.5,1300,4,15000,IT,Умеренный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.35,6.0,1500,5,30000,Бизнес,Тёплый,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.6,6.5,1000,1,15000,Инженерия,Тёплый,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.71,5.5,1400,1,15000,Физика,Холодный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.13,5.5,1500,2,5000,Медицина,Холодный,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.9,6.0,1200,2,5000,Математика,Холодный,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.14,5.5,1100,3,25000,Физика,Холодный,Продвинутый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.43,5.5,1100,5,25000,Математика,Тёплый,Средний,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.42,5.5,1500,4,15000,Физика,Тёплый,Средний,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.75,5.5,1100,4,15000,Математика,Тёплый,Нет,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.55,5.5,1300,2,5000,Инженерия,Холодный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.31,5.5,1100,4,5000,Инженерия,Тёплый,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.72,6.5,1500,2,5000,Физика,Умеренный,Нет,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.94,6.0,1400,5,15000,Математика,Холодный,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.52,7.0,1400,1,20000,Бизнес,Тёплый,Нет,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.51,6.0,1400,4,10000,Математика,Умеренный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.17,5.5,1200,4,15000,Медицина,Тёплый,Средний,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.51,5.5,1300,4,10000,Бизнес,Тёплый,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.37,5.5,1100,4,30000,Бизнес,Холодный,Средний,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.18,5.5,1300,4,30000,Бизнес,Умеренный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.88,7.0,1400,4,5000,Математика,Умеренный,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.62,6.0,1000,3,10000,IT,Умеренный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.88,6.5,1200,1,10000,Математика,Тёплый,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.94,7.0,1500,3,15000,Инженерия,Умеренный,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.39,5.5,1500,1,25000,Физика,Умеренный,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.57,6.5,1300,2,30000,Физика,Умеренный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.17,6.0,1300,2,20000,Инженерия,Холодный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.72,6.0,1200,3,15000,Инженерия,Холодный,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.92,6.5,1300,4,10000,Математика,Умеренный,Нет,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.89,6.5,1200,4,15000,Медицина,Холодный,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.63,5.5,1400,4,15000,Бизнес,Умеренный,Средний,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.89,7.0,1000,5,15000,Бизнес,Тёплый,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.88,5.5,1200,1,20000,IT,Холодный,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.5,6.5,1200,1,15000,Физика,Умеренный,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.57,7.0,1300,2,5000,Медицина,Холодный,Нет,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.6,5.5,1300,3,15000,Математика,Холодный,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.71,6.5,1200,5,15000,Физика,Тёплый,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.73,5.5,1200,4,20000,IT,Умеренный,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.39,5.5,1400,4,10000,Физика,Умеренный,Продвинутый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.0,6.5,1400,2,5000,Физика,Холодный,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.94,5.5,1000,4,25000,Бизнес,Умеренный,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.91,6.5,1100,1,5000,IT,Тёплый,Продвинутый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.7,5.5,1100,5,5000,IT,Холодный,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.0,5.5,1300,1,5000,Математика,Умеренный,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.53,6.0,1200,4,30000,Медицина,Умеренный,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,2.5,6.0,1500,4,25000,IT,Холодный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.56,6.5,1400,2,10000,Медицина,Тёплый,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.68,6.0,1000,3,15000,IT,Тёплый,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.53,5.5,1200,5,30000,Бизнес,Тёплый,Базовый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.67,6.5,1400,4,20000,Математика,Умеренный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.41,5.5,1500,4,25000,IT,Тёплый,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.25,6.0,1300,2,25000,Бизнес,Умеренный,Средний,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.13,6.0,1100,1,25000,Физика,Холодный,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.32,7.0,1100,1,25000,IT,Умеренный,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,2.79,5.5,1300,5,10000,Физика,Умеренный,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.14,6.5,1500,3,20000,Бизнес,Холодный,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.4,6.0,1500,3,15000,Бизнес,Холодный,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,2.92,5.5,1300,2,30000,IT,Холодный,Продвинутый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.92,6.0,1100,4,10000,Физика,Холодный,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.54,5.5,1100,1,30000,Медицина,Умеренный,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.91,6.5,1100,3,15000,Физика,Тёплый,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,2.71,7.0,1400,5,25000,Физика,Умеренный,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.77,6.0,1100,3,30000,Математика,Холодный,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.96,6.5,1000,3,25000,Инженерия,Умеренный,Продвинутый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.67,6.5,1500,3,15000,Математика,Холодный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.69,6.0,1400,3,20000,Бизнес,Холодный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.7,6.0,1400,3,5000,Математика,Тёплый,Продвинутый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.04,5.5,1400,5,5000,Бизнес,Холодный,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.42,6.0,1100,2,20000,IT,Тёплый,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.59,7.0,1000,5,25000,Медицина,Тёплый,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.53,5.5,1100,1,15000,IT,Умеренный,Нет,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,2.85,5.5,1500,3,25000,IT,Умеренный,Базовый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.7,7.0,1500,2,15000,Математика,Тёплый,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.8,6.5,1200,4,20000,IT,Холодный,Базовый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.89,6.5,1500,5,30000,Бизнес,Умеренный,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.07,7.0,1300,3,15000,IT,Умеренный,Нет,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.18,6.5,1200,1,30000,Инженерия,Холодный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.65,6.0,1100,4,5000,Инженерия,Тёплый,Базовый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.65,7.0,1200,2,20000,Бизнес,Умеренный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.41,7.0,1100,4,25000,Инженерия,Тёплый,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.86,6.5,1000,2,25000,Инженерия,Умеренный,Средний,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.76,5.5,1500,5,10000,Бизнес,Тёплый,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.92,6.0,1200,5,30000,IT,Холодный,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.87,5.5,1300,2,15000,Математика,Холодный,Продвинутый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.04,6.5,1500,5,25000,Физика,Умеренный,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.6,5.5,1100,1,30000,Бизнес,Холодный,Базовый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.62,6.5,1500,3,20000,Бизнес,Тёплый,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.57,6.0,1000,4,15000,Медицина,Холодный,Базовый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.93,6.0,1500,5,20000,Инженерия,Холодный,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.22,7.0,1200,4,5000,Бизнес,Умеренный,Продвинутый,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.67,6.5,1500,5,20000,IT,Умеренный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.86,5.5,1400,2,30000,Физика,Тёплый,Нет,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.28,5.5,1500,2,10000,Инженерия,Умеренный,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.05,6.5,1500,1,15000,Физика,Тёплый,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,2.8,7.0,1300,5,15000,IT,Тёплый,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.99,5.5,1500,3,5000,Инженерия,Тёплый,Средний,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.12,7.0,1400,2,30000,Медицина,Умеренный,Нет,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.65,7.0,1500,3,10000,Инженерия,Умеренный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.84,5.5,1000,3,5000,Медицина,Холодный,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,2.53,5.5,1300,3,20000,Медицина,Умеренный,Продвинутый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.72,6.0,1000,1,15000,Физика,Холодный,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.81,7.0,1500,3,30000,Физика,Умеренный,Средний,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,2.57,5.5,1500,2,15000,IT,Холодный,Средний,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.83,6.5,1100,2,5000,Бизнес,Умеренный,Нет,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.75,6.5,1100,3,15000,Математика,Тёплый,Базовый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.64,6.5,1500,5,5000,Математика,Холодный,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.66,7.0,1100,3,25000,Математика,Умеренный,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.16,7.0,1200,4,10000,IT,Умеренный,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.69,5.5,1000,1,25000,Медицина,Тёплый,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.26,6.5,1100,1,25000,Математика,Умеренный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.19,6.5,1300,4,25000,Медицина,Умеренный,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.83,5.5,1000,3,5000,Математика,Тёплый,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.45,5.5,1300,5,30000,Инженерия,Тёплый,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.83,6.0,1400,5,10000,IT,Умеренный,Базовый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,2.93,5.5,1300,1,5000,Бизнес,Умеренный,Нет,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.48,7.0,1500,5,25000,IT,Холодный,Базовый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.01,7.0,1300,1,30000,Инженерия,Холодный,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.93,6.0,1200,1,5000,Бизнес,Холодный,Базовый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.84,6.5,1000,1,25000,Математика,Холодный,Средний,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,2.97,7.0,1100,2,30000,Медицина,Тёплый,Базовый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.25,7.0,1500,5,20000,IT,Тёплый,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.04,6.5,1200,1,30000,IT,Умеренный,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.7,6.5,1300,1,20000,IT,Тёплый,Средний,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.07,6.0,1100,4,25000,Физика,Тёплый,Продвинутый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,2.76,5.5,1100,5,10000,Математика,Холодный,Нет,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Гонконга,Гонконг,Гонконг,3.6,6.0,1000,1,20000,Математика,Умеренный,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.79,7.0,1500,5,5000,IT,Холодный,Средний,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.76,6.0,1400,5,30000,Физика,Тёплый,Средний,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.17,5.5,1100,3,10000,Физика,Тёплый,Нет,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.72,6.0,1000,1,25000,Бизнес,Умеренный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.97,6.5,1100,5,25000,Инженерия,Умеренный,Продвинутый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.25,6.0,1000,2,25000,Инженерия,Умеренный,Средний,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Кембриджа,Великобритания,Кембридж,3.77,6.0,1500,1,15000,Математика,Умеренный,Базовый,Высокий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,3.81,6.0,1000,4,20000,Математика,Умеренный,Нет,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.33,6.0,1300,1,10000,Бизнес,Холодный,Продвинутый,Низкий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,2.83,6.5,1500,5,20000,Физика,Тёплый,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Национальный университет Сингапура,Сингапур,Сингапур,3.54,5.5,1400,5,20000,Бизнес,Умеренный,Нет,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.27,6.5,1400,3,5000,Бизнес,Тёплый,Продвинутый,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.84,6.5,1000,4,5000,Математика,Тёплый,Базовый,Высокий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Торонто,Канада,Торонто,3.95,7.0,1300,1,25000,Бизнес,Умеренный,Нет,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,2.5,6.5,1100,1,10000,Медицина,Холодный,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.66,6.0,1100,3,30000,Физика,Умеренный,Базовый,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,3.44,5.5,1100,5,25000,IT,Тёплый,Средний,Низкий,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.04,7.0,1000,4,30000,Физика,Умеренный,Нет,Средний,Средний,Университет с акцентом на исследования. Возможны стипендии и гранты.
Токийский университет,Япония,Токио,3.57,5.5,1300,1,10000,Математика,Холодный,Нет,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.4,7.0,1000,5,30000,Математика,Умеренный,Средний,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Сиднея,Австралия,Сидней,3.15,6.0,1000,4,20000,Бизнес,Тёплый,Продвинутый,Средний,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
МГУ,Россия,Москва,3.3,6.5,1400,4,25000,Медицина,Холодный,Средний,Низкий,Дорогой,Университет с акцентом на исследования. Возможны стипендии и гранты.
Гарвард,США,Кембридж,3.98,6.5,1100,1,20000,Инженерия,Холодный,Нет,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Корея Университи,Южная Корея,Сеул,2.97,5.5,1000,5,15000,Бизнес,Холодный,Продвинутый,Средний,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
Университет Назарбаева,Казахстан,Астана,2.99,5.5,1300,1,10000,Инженерия,Тёплый,Продвинутый,Высокий,Дешёвый,Университет с акцентом на исследования. Возможны стипендии и гранты.
